image_number	cell_id	Cgroup	Agroup	A101	A102	A103	A104	A120	A121	A122	A123	
1	0	large	F	0.11173974540311174	0.6033755274261603	-1.0	0.09663564947764479	144.0334031878432	62.19430981563251	3.0	0.4388185654008439	
1	1	no	A	0.7370212765957447	-1.0	-1.0	-1.0	91.22988735887003	31.25699921617557	2.0	0.17551963048498845	
1	2	no	B	0.1923419412288513	-1.0	-1.0	-1.0	82.16737564730722	31.89043743820395	3.0	0.2916666666666667	
1	3	medium	iso	0.3027574563871694	0.7881040892193308	-1.0	0.18336267577541204	76.06800988715672	25.223748416156685	7.0	0.33643122676579923	
1	4	large	iso	0.3198776758409786	0.8087954110898662	-1.0	0.19042221153703537	76.55804200752216	24.898009386816113	2.0	0.28680688336520077	
1	5	large	E	0.12254901960784313	0.568	-1.0	0.0053051647042370335	48.64765904407045	15.52632114051584	2.0	0.316	
1	6	medium	iso	0.3001285347043702	0.6788008565310493	-1.0	0.17254878170368998	50.43490244828372	20.84758559053162	2.0	0.18629550321199143	
1	7	small	E	0.23738872403560832	0.00625	0.09429948085136039	-1.0	77.60257156070031	33.24154027718932	2.0	0.278125	
1	8	small	api	0.21641297154202516	0.691131498470948	-1.0	0.15145690090099176	39.12857866254614	16.144380530780047	1.0	0.17737003058103976	
1	9	no	B	0.1295238095238095	-1.0	-1.0	-1.0	85.91022752981243	31.76476034853718	1.0	0.6323529411764706	
2	10	large	api	0.21187720181177655	0.828978622327791	-1.0	0.2942665700388346	88.15404504739996	36.74874636028648	2.0	0.171021377672209	
2	11	medium	iso	0.3520097442143727	0.6124567474048442	-1.0	0.10332883440733905	66.58705237620535	25.698793495904972	2.0	0.18339100346020762	
2	12	small	api	0.1328519855595668	0.3804347826086957	0.011579240156595302	-1.0	36.37887450594154	12.727922061357855	4.0	0.3641304347826087	
2	13	large	iso	0.32354511478910836	0.8712871287128713	-1.0	0.2297376941913785	63.135156184586755	22.847319317591726	3.0	0.10066006600660066	
2	14	medium	iso	0.2068230277185501	0.718213058419244	-1.0	0.13656426936024155	53.13684827065927	19.472153465597255	1.0	0.45017182130584193	
2	15	no	B	0.06102941176470588	-1.0	-1.0	-1.0	96.28011807873759	33.60059523282288	1.0	0.6746987951807228	
2	16	large	iso	0.3642487046632124	0.8776671408250356	-1.0	0.2203869236625671	157.00065994767652	60.432258282446746	2.0	0.2034139402560455	
2	17	large	iso	0.38184584178498987	0.8671978751660027	-1.0	0.2205749836551713	83.0092900200673	30.0	3.0	0.15139442231075698	
2	18	large	iso	0.30486486486486486	0.925531914893617	-1.0	0.1972127341444888	60.06039568180259	21.633307652783937	3.0	0.17198581560283688	
2	19	medium	iso	0.22242535039609995	0.9232876712328767	-1.0	0.20529219068663335	66.91663359029867	25.187735704841018	4.0	0.26575342465753427	
2	20	small	api	0.24699278267842822	0.11038961038961038	0.09994439060008227	-1.0	50.66556623839922	22.80350850198276	3.0	0.2694805194805195	
3	21	medium	api	0.24181626187961985	0.8122270742358079	-1.0	0.2456813817006929	63.87033460693541	23.449271413096216	1.0	0.26419213973799127	
3	22	no	A	0.33136094674556216	-1.0	-1.0	-1.0	60.56673670235504	26.076809620810597	3.0	0.2261904761904762	
3	23	medium	iso	0.299140708915145	0.8886894075403949	-1.0	0.221138296748576	98.85168749443311	39.63973811847724	9.0	0.3357271095152603	
3	24	large	F	0.1775887943971986	0.5295774647887324	-1.0	0.007699755844692455	99.77963164852432	39.30194339616981	3.0	0.28169014084507044	
3	25	large	iso	0.3357771260997067	0.9068413391557496	-1.0	0.26464791743782434	80.75211108356056	30.87289351988775	4.0	0.22998544395924309	
3	26	no	A	0.6347826086956522	-1.0	-1.0	-1.0	80.94433770018142	27.784887978899608	2.0	0.1278538812785388	
3	27	no	A	0.4942528735632184	-1.0	-1.0	-1.0	83.68134836415996	29.966648127543394	3.0	0.19499105545617174	
3	28	no	B	0.23981552651806304	-1.0	-1.0	-1.0	91.59428371636429	34.539832078341085	4.0	0.33653846153846156	
