image_number	cell_id	Cgroup	C101	C102	C103	C104	C105	C106	C107	C108	C109	C110	C111	C112	C113	C114	C115	C116	C117	C118	C126	C127	C128	
1	0	complex	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	
1	1	complex	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	
1	2	no	1321.0	137.88225087999987	43.56604182158393	37.48332962798263	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	1.162277797996375	-1.0	-1.0	-1.0	115.0	3.0	-1.0	
1	3	medium	1854.0	182.75230851999999	43.68065933568311	37.36308338453881	8.017093073655326	19.046624297635802	24.413111231467404	26.052351499145136	19.4164878389476	10.714123987997743	42.501845569231826	19.697715603592208	32.83142544921479	0.9370789900584782	1.1690860437326371	0.8015483505958116	0.5728028649268022	0.4013605442176871	108.0	4.0	42.720018726587654	
1	4	no	1136.0	124.22539663999986	40.049968789001575	34.058772731852805	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	1.1759075731917263	-1.0	-1.0	-1.0	119.0	3.0	-1.0	
1	5	no	981.0	114.56854239999987	36.069377593742864	32.55764119219941	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	1.1078621261538086	-1.0	-1.0	-1.0	82.0	3.0	-1.0	
1	6	large	2242.0	215.86500684000006	41.773197148410844	38.8329756778952	69.71744091108339	63.25042199066053	33.24154027718932	35.769323359577335	14.317821063276353	47.66214070056504	22.249131953382925	19.235384061671343	53.37411829990641	0.9293309784762481	1.0757145549417502	0.8639196840899594	0.8008702181294034	0.6718866517524236	90.0	3.0	40.024992192379	
1	7	small	2038.0	188.50966784000002	50.32891812864648	40.85339643163099	47.64254529406472	62.704031523457914	18.110770276274835	22.583763153533386	18.110770276274835	32.08890753168735	22.78880292261741	21.540659228538015	36.10974567430105	0.8019376643808487	1.2319396310872945	0.6509553261737903	0.36648634768332183	0.1835075493612079	74.0	5.0	45.617978911828175	
1	8	large	1989.0	200.99494920000006	40.311288741492746	34.655446902326915	1.9749340108819524	2.223961240385478	33.24154027718932	31.47779791840022	16.278820596099706	1.9597488065094937	51.93988711422851	18.384776310850235	50.501570805729955	1.056031313351755	1.1632021037012243	0.9078657182544119	0.8676609596309381	0.7838565022421524	120.0	3.0	39.05124837953327	
1	9	no	997.0	115.98275595999989	37.33630940518894	31.400636936215164	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	1.1890303206597703	-1.0	-1.0	-1.0	124.0	3.0	-1.0	
1	10	no	1253.0	130.46803731999987	41.19465984809196	36.22154055254967	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	1.1372972882897503	-1.0	-1.0	-1.0	96.0	3.0	-1.0	
1	11	no	1187.0	126.22539663999986	40.718546143004666	36.24913792078372	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	1.1232969521092633	-1.0	-1.0	-1.0	84.0	4.0	-1.0	
1	12	no	1246.0	130.46803731999987	43.41658669218482	36.138621999185304	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	1.201390210538841	-1.0	-1.0	-1.0	113.0	3.0	-1.0	
1	13	no	1217.0	127.05382375999986	41.43669871020132	36.345563690772494	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	1.1400758305124699	-1.0	-1.0	-1.0	102.0	4.0	-1.0	
1	14	large	2027.0	201.82337632000005	42.5205832509386	34.713109915419565	2.5261169116195674	2.5410448142336364	31.827660925679098	34.55349398970744	16.278820596099706	0.5644325210301584	50.61488308829226	19.209372712298546	12.731064370271675	0.9211126647614769	1.2249142573091947	0.7519813401347065	0.8306500387438049	0.7163420829805249	99.0	3.0	40.80441152620633	
1	15	no	1244.0	129.63961019999988	40.311288741492746	38.07886552931954	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	1.0586263057247414	-1.0	-1.0	-1.0	90.0	4.0	-1.0	
1	16	large	1883.0	195.96551192000007	41.97618372363071	33.734255586866	4.775291910068063	4.786113560215739	30.265491900843113	30.332986391466363	15.132745950421556	4.049915569249275	48.79313242177631	19.1049731745428	48.538996444748314	0.9977748814524164	1.2443192533340977	0.8018640544047867	0.7586967153643589	0.6331309627059843	101.0	4.0	41.593268686170845	
2	17	medium	1649.0	174.02438648	39.05124837953327	35.90264614203248	11.82148834060726	14.321444101847874	23.706539182259394	25.778897499484703	17.46424919657298	9.474729115034302	40.192023570948706	17.88854381999832	38.30314191020082	0.9196102813447808	1.0876983335725388	0.8454644573411512	0.6240344453987885	0.4277056277056277	128.0	3.0	38.48376280978771	
2	18	no	1145.0	125.5391051199998	42.01190307520001	33.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	1.273087971975758	-1.0	-1.0	-1.0	118.0	3.0	-1.0	
2	19	medium	1602.0	176.26702716	40.45985664828782	34.828149534535996	11.55662967723385	13.4218350678862	24.596747752497688	23.076980026731448	13.892443989449804	9.416741223578288	41.776551997320595	18.35755975068582	40.56866187749619	1.065856438927702	1.1616998660284077	0.917497255613558	0.6049052981748867	0.41644562334217505	144.0	3.0	39.66106403010388	
2	20	large	1853.0	190.16652208000005	39.824615503479755	37.12142238654117	8.45723620277144	11.392909649192603	27.202941017470888	29.173349728758712	15.811388300841896	8.010121277181614	45.310763754834724	18.027756377319946	40.55017843258512	0.9324586058986082	1.0728203000626038	0.8691656989005476	0.7266149482787272	0.5703389830508474	119.0	4.0	39.395431207184416	
2	21	no	1099.0	122.22539663999986	38.01315561749642	34.438350715445125	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	1.103803022728613	-1.0	-1.0	-1.0	100.0	3.0	-1.0	
2	22	no	1314.0	137.88225087999987	44.294469180700204	36.235341863986875	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	1.2224106880780676	-1.0	-1.0	-1.0	136.0	3.0	-1.0	
2	23	no	1114.0	121.39696951999987	38.948684188300895	34.9857113690718	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	1.1132740385760016	-1.0	-1.0	-1.0	107.0	3.0	-1.0	
2	24	no	1024.0	117.39696951999989	35.805027579936315	33.60059523282288	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	1.0656069433246238	-1.0	-1.0	-1.0	103.0	3.0	-1.0	
2	25	large	1944.0	197.23758988000006	41.593268686170845	34.88552708502482	9.614569270900958	12.24969390733969	31.04834939252005	31.103136393575024	15.524174696260024	9.689067792212052	47.956850298477	18.027756377319946	45.66600293863342	0.9982385377358184	1.1922786370633751	0.8372527249121192	0.7975162422541833	0.6816608996539792	94.0	2.0	40.311288741492746	
2	26	large	2008.0	202.40916276000007	38.8329756778952	35.22782990761707	5.150769444877142	7.94347181059041	33.54101966249684	32.54694882850081	15.811388300841896	6.283319672020178	51.2095126134901	18.35755975068582	45.46671554249573	1.0305426735769943	1.1023380032131531	0.9348699496643624	0.8818207991572411	0.7960644007155635	106.0	4.0	38.47076812334269	
2	27	small	1452.0	160.02438647999995	42.95346318982906	35.34119409414458	10.602613105475967	14.155485292676786	16.278820596099706	18.72812410424196	13.341664064126334	7.612890223888402	35.53926323638559	19.6468827043885	31.1296744732433	0.8692178941943534	1.215393658612845	0.7151739586879287	0.3827545367942343	0.19407894736842105	111.0	3.0	42.44997055358225	
2	28	large	2251.0	218.79393904000008	47.29693436154187	37.107950630558946	34.46474279134321	44.35565101360024	31.906112267087632	32.520344918041516	16.1245154965971	33.384827607006976	38.80570000581327	19.849433241279208	47.75331873908186	0.9811123574334194	1.2745768375198858	0.7697553639390627	0.7245467329354477	0.5998578535891969	104.0	4.0	43.01162633521314	
2	29	large	1903.0	194.40916276000007	38.27531841800928	33.28663395418648	34.50852298766841	36.9662739712862	31.064449134018133	32.200062477019216	17.029386365926403	28.425628968460128	39.29505163544757	17.0	47.270098822114306	0.964732573304429	1.149870499693327	0.8389923678898843	0.8731676068046268	0.776844070961718	106.0	3.0	36.87817782917155	
2	30	large	1910.0	195.58073564000003	39.11521443121589	37.21558813185679	10.135749725544589	11.131626681855124	29.0	29.31526016340779	15.556349186104045	8.896793870629498	46.0022287954793	18.439088914585774	46.08219178082197	0.9892458684776979	1.051043833907142	0.941203246300664	0.7471174539700832	0.596989966555184	115.0	3.0	39.408120990476064	
3	31	complex	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	
3	32	no	1231.0	128.46803731999984	42.190046219457976	36.22154055254967	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	1.1647777972957636	-1.0	-1.0	-1.0	108.0	4.0	-1.0	
3	33	small	1343.0	142.9533186799999	42.95346318982906	35.90264614203248	1.104360172065375	1.941486390914374	8.246211251235321	-1.0	13.341664064126334	0.6984302957695783	27.769540887204336	19.4164878389476	20.61552812808834	-1.0	1.196387113637898	-1.0	0.22935167148594032	0.08656957928802589	92.0	4.0	42.37924020083418	
3	34	large	1749.0	185.82337632000002	40.049968789001575	36.013886210738214	12.324727434137344	11.289374247592434	27.294688127912362	26.58740984900869	14.142135623730951	9.238459134620063	45.28808666901621	18.24828759089466	47.19175050153066	1.0266020000789977	1.1120701763382572	0.9231449794466363	0.68176600989127	0.5195482189400521	96.0	4.0	39.319206502675	
3	35	complex	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	
3	36	no	1231.0	128.71067799999986	41.012193308819754	37.013511046643494	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	1.1080330438562616	-1.0	-1.0	-1.0	110.0	4.0	-1.0	
3	37	complex	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	
3	38	medium	1622.0	174.26702715999997	40.22437072223753	35.805027579936315	1.2873289415250397	4.930242747663009	23.430749027719962	22.47352688905755	15.620499351813308	2.3368917477690534	41.27911916002018	17.804493814764857	27.191239612415774	1.0425933207274416	1.1234280055345534	0.9280464040340095	0.5656854248581917	0.3676222596964587	106.0	3.0	39.66106403010388	
3	39	small	1831.0	174.75230852000004	46.95742752749558	41.14608122288197	25.04341316123887	26.56505117707799	14.0	21.763792868196553	17.029386365926403	14.758048651498612	33.02866177312262	22.02271554554524	33.0	0.6432702279784243	1.1412369327016696	0.5636605419486379	0.3414861669500288	0.1379738968303294	97.0	4.0	46.389654018972806	
3	40	small	1476.0	159.09545427999993	43.18564576337837	38.118237105091836	23.37046171196756	35.28674897505972	9.219544457292887	-1.0	9.219544457292887	14.472401395234037	27.755743191457096	22.825424421026653	25.053109938295883	-1.0	1.1329392186820104	-1.0	0.22843829537699198	0.055039313795568263	125.0	3.0	44.01136216933077	
3	41	no	184.0	51.69848476000001	16.76305461424021	12.649110640673518	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	1.325235828069857	-1.0	-1.0	-1.0	20.0	3.0	-1.0	
3	42	small	1217.0	139.7817457999999	41.23105625617661	34.92849839314596	8.343891584033102	12.528807709151522	8.94427190999916	-1.0	12.649110640673518	4.608176875690326	26.85486187932042	18.384776310850235	21.242645786247977	-1.0	1.1804417067144062	-1.0	0.2321006308007683	0.05459272097053726	108.0	4.0	39.92492955535426	
3	43	small	1252.0	140.1248915599999	41.773197148410844	33.421549934136806	4.867839401748967	0.903237008122602	10.63014581273465	15.61455332849847	14.212670403551895	1.7235932347768372	28.813744482160917	17.804493814764857	109.33864264527055	0.6807844956623468	1.2498880880968257	0.5446763611444292	0.2781745930205397	0.11586452762923351	85.0	4.0	39.824615503479755	
4	44	large	2175.0	205.4802305600001	44.598206241955516	37.53664875824692	37.874983651098205	47.72631099390627	30.0	32.40491451456741	18.0	34.575381611410464	34.49961685019856	19.235384061671343	46.72727272727273	0.9257855004219716	1.1881243456012347	0.7791991670312	0.738412467416986	0.5922401171303074	105.0	4.0	40.85339643163099	
4	45	no	917.0	109.98275595999986	35.510561809129406	31.575306807693888	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	1.1246307763659362	-1.0	-1.0	-1.0	87.0	3.0	-1.0	
4	46	large	2473.0	225.72287124000013	46.61544808322666	39.20459156782532	75.99578323612369	81.90477636634576	34.88552708502482	33.7671934433761	16.1245154965971	52.85801384126575	11.503754584963707	18.384776310850235	53.39002406055971	1.0331189396454887	1.18903032065977	0.8688751848415698	0.785853147286744	0.6464713715046605	141.0	3.0	40.496913462633174	
4	47	no	1590.0	147.53910511999993	46.09772228646444	42.95346318982906	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	1.0732015270279744	-1.0	-1.0	-1.0	81.0	4.0	-1.0	
4	48	large	2336.0	222.20815260000012	42.720018726587654	36.05551275463989	7.980113745168524	3.9989738439468	38.600518131237564	34.32040256259112	15.297058540778355	5.500933918218137	58.74275078025177	20.396078054371138	78.87931965948572	1.124710529278923	1.1848401385191818	0.9492508674500097	0.8875369052042328	0.8193146417445483	105.0	4.0	43.41658669218482	
4	49	large	2584.0	231.27922040000018	45.65084884205331	40.311288741492746	47.79670850327584	54.66940450536995	35.22782990761707	36.49420788822635	17.11724276862369	44.73082213794283	35.349899357924414	21.587033144922902	54.828680389751575	0.9652992062606781	1.1324581839792314	0.8523928034753654	0.8207887694724008	0.6933158584534731	73.0	3.0	42.95346318982906	
4	50	small	1505.0	157.1959593599999	41.012193308819754	39.01281840626232	52.12501634890178	52.737372773206275	12.806248474865697	16.55560375354466	14.212670403551895	24.968184273621542	18.86559418331739	18.439088914585774	31.372245067613584	0.7735295351052237	1.0512491787118998	0.735819395410166	0.3017021853876723	0.13157894736842105	86.0	4.0	40.0	
4	51	complex	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	
4	52	no	1288.0	135.5391051199999	44.27188724235731	34.785054261852174	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	1.2727272727272727	-1.0	-1.0	-1.0	116.0	3.0	-1.0	
4	53	small	1223.0	135.0538237599999	41.23105625617661	34.20526275297414	1.4878675288277918	6.519801751656985	8.54400374531753	-1.0	12.649110640673518	1.4552137502179978	26.574857985002982	18.681541692269406	12.816005617976298	-1.0	1.2054009511326316	-1.0	0.19849821826591113	0.0699912510936133	89.0	4.0	40.162171256046406	
4	54	complex	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	
4	55	complex	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	
4	56	no	1028.0	118.56854239999986	38.41874542459709	32.802438933713454	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	1.1712161251860864	-1.0	-1.0	-1.0	60.0	4.0	-1.0	
5	57	small	1487.0	158.61017291999994	42.720018726587654	37.0	7.401388179560769	0.9022211615301501	14.866068747318506	20.129419005508602	15.811388300841896	2.6919463855110033	34.2972972972973	19.4164878389476	170.95979059416393	0.73852448216465	1.1545951007185853	0.6396393694248439	0.36381006660866916	0.18675179569034317	95.0	4.0	42.720018726587654	
5	58	no	1524.0	146.6101729199999	45.39823785126467	41.30375285612676	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	1.099131064661369	-1.0	-1.0	-1.0	96.0	5.0	-1.0	
5	59	no	1171.0	126.46803731999984	41.30375285612676	34.23448553724738	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	1.206495503231324	-1.0	-1.0	-1.0	98.0	4.0	-1.0	
5	60	no	1087.0	120.56854239999987	38.3275357934736	34.20526275297414	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	1.120515754264774	-1.0	-1.0	-1.0	136.0	3.0	-1.0	
5	61	medium	1828.0	193.82337632	42.5205832509386	38.2099463490856	20.91680380334273	27.012665347938537	26.92582403567252	24.42983993346208	14.317821063276353	19.096633628187025	42.502022514325354	19.235384061671343	42.04570984031941	1.1021694824447719	1.1128145238015013	0.9904341279440129	0.6258594297037309	0.4159566227730441	118.0	4.0	41.88078318274385	
5	62	large	1940.0	201.82337632000005	39.66106403010388	34.66987164671943	5.251983664381157	7.657709693713876	33.301651610693426	30.727594264366292	14.866068747318506	6.10170215847752	50.01460685142388	17.804493814764857	45.789770964703465	1.0837702204793878	1.1439633937570903	0.9473819060940302	0.8508348746589538	0.7509025270758123	140.0	5.0	38.600518131237564	
5	63	small	1945.0	189.33809496000003	45.35416188179427	43.174066289845804	88.76802259736027	81.97276248956805	19.1049731745428	21.298357135566288	15.297058540778355	39.048235630849604	2.2235570621379814	20.615528128088304	39.43462411668449	0.8970162840700637	1.0504954890584677	0.8538982731606364	0.418649529607533	0.19692307692307692	123.0	4.0	42.44997055358225	
5	64	complex	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	
5	65	small	1553.0	152.85281359999982	45.60701700396552	39.20459156782532	40.815083874881566	43.994913994745815	7.0710678118654755	-1.0	15.033296378372908	18.24280680158621	20.78838134533353	20.396078054371138	26.263966158357483	-1.0	1.163308050922142	-1.0	0.199019314029069	0.047908232118758436	107.0	7.0	42.5440947723653	
5	66	complex	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	
5	67	large	2360.0	217.6223661600001	44.721359549995796	40.792156108742276	67.806495491606	68.74109088783564	31.575306807693888	33.584282618723456	18.24828759089466	47.40464112299554	19.611613513818405	19.4164878389476	50.865995769233315	0.9401810711922264	1.0963225241337866	0.8575770820134077	0.7362603011520158	0.5892255892255892	75.0	3.0	41.10960958218893	
