image_number	cell_id	Cgroup	C101	C102	C103	C104	C105	C106	C107	C108	C109	C110	C111	C112	C113	C114	C115	C116	C117	C118	C126	C127	C128	
1	0	large	2309.0	218.79393904000008	42.190046219457976	39.20459156782532	3.0904335789426227	2.4668306719529483	36.345563690772494	33.369532797722705	15.132745950421556	2.654654593583872	56.4729770534582	20.223748416156685	61.67732020252308	1.0891840743198204	1.0761506377758767	1.012111163703699	0.8551135854190296	0.7479182437547313	66.0	3.0	41.43669871020132	
1	1	no	1400.0	138.81118307999992	45.17742799230607	37.589892258425	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	1.2018504251546631	-1.0	-1.0	-1.0	66.0	5.0	-1.0	
1	2	no	1644.0	150.12489155999992	45.18849411078001	45.18849411078001	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	1.0	-1.0	-1.0	-1.0	86.0	4.0	-1.0	
1	3	no	1333.0	132.46803731999987	41.72529209005013	39.6232255123179	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	1.0530513745550258	-1.0	-1.0	-1.0	87.0	3.0	-1.0	
1	4	no	1126.0	123.39696951999987	39.92492955535426	33.61547262794322	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	1.187695023575728	-1.0	-1.0	-1.0	132.0	4.0	-1.0	
1	5	complex	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	
1	6	medium	1948.0	197.82337632000002	45.18849411078001	37.57658845611187	25.442796051898895	33.80761056044396	26.92582403567252	27.509416237297092	15.264337522473747	24.276091106525797	41.03618937629214	20.615528128088304	43.6301757269317	0.9787857293448	1.2025704292862716	0.8139113564647616	0.6286437263130193	0.43446244477172313	158.0	3.0	42.5205832509386	
1	7	medium	2175.0	206.06601700000004	44.721359549995796	42.7551166528639	4.864514437760533	3.9646547228561246	27.16615541441225	28.45496303238114	16.1245154965971	3.667151483099655	48.08781172772876	21.095023109728988	53.03868438051912	0.9547071062259945	1.04598848163826	0.9127319497158346	0.6009191111000318	0.3996138996138996	57.0	5.0	43.73785545725808	
1	8	complex	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	
1	9	small	1736.0	175.58073563999997	45.89117562233506	39.81205847478876	37.610949669839094	48.87852450284771	16.401219466856727	21.505947382362372	16.401219466856727	25.29898143282574	27.428875617961726	21.02379604162864	33.58344938451615	0.7626364547096318	1.1526953737244192	0.6616114474768069	0.37562301968269407	0.18904109589041096	77.0	3.0	43.41658669218482	
3	10	large	3052.0	254.9360746400002	50.15974481593781	44.28317965096906	49.04172692426326	56.93044012185416	39.824615503479755	37.81510595335805	17.0	51.19643270561538	38.38929393505731	23.600847442411894	61.092958550140985	1.053140391900535	1.1327042279097082	0.9297576242334682	0.7938611983101546	0.6605005440696409	54.0	3.0	47.16990566028302	
3	11	medium	1752.0	184.75230852	44.94441010848846	35.510561809129406	5.710593137499643	12.476767960052712	26.570660511172846	22.76144446741738	14.866068747318506	7.742898375125735	46.38056724792715	20.12461179749811	35.83949557320986	1.16735387990021	1.265663166639445	0.9223258688958587	0.5836837767938643	0.38827258320126784	71.0	3.0	42.485291572496	
3	12	large	2397.0	221.03657972000016	41.10960958218893	38.05259518088089	12.050784883409563	8.474069453937432	40.11234224026316	34.761039702221645	18.110770276274835	9.754410320980924	57.65703993567175	18.110770276274835	66.19361826479643	1.1539454108358993	1.0803365548861172	1.068135115503466	0.965016923113077	0.9176	87.0	5.0	40.19950248448356	
3	13	small	1331.0	143.05382375999991	41.78516483155236	36.40054944640259	2.608794746749453	2.602562202499797	9.486832980505138	15.295640768075852	14.560219778561036	0.07179581586177382	29.257800121070762	20.248456731316587	1.5811388300841953	0.6202311576449605	1.1479267611901918	0.5403055130467499	0.25765536074303186	0.09277504105090312	94.0	3.0	40.496913462633174	
3	14	complex	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	
3	15	no	1486.0	144.7106779999999	45.69463863518345	40.311288741492746	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	1.133544475052954	-1.0	-1.0	-1.0	63.0	4.0	-1.0	
3	16	small	1332.0	146.95331867999988	40.11234224026316	35.12833614050059	5.875192730295083	0.4744883619071594	12.041594578792296	17.863274299238327	14.035668847618199	1.8198887405464328	31.427620015488372	19.026297590440446	219.75910106295933	0.6740978376683012	1.1418799364657737	0.5903403818046735	0.3262566526859561	0.15025906735751296	54.0	4.0	40.19950248448356	
3	17	small	1616.0	169.68124072	43.965895873961216	37.0	26.965714432870143	36.63857604824206	18.027756377319946	19.054810496423794	13.601470508735444	20.015513900199625	31.91891891891892	20.223748416156685	33.5400118647813	0.9461000087460011	1.1882674560530058	0.7962012288787264	0.40440114513888087	0.20867614061331338	72.0	3.0	41.19465984809196	
3	18	large	2150.0	208.30865768	41.10960958218893	38.27531841800928	14.51278086953953	25.144785630678943	34.23448553724738	33.65666461142306	16.1245154965971	19.92234925906079	48.360146342481336	19.026297590440446	46.88636062709968	1.0171680982799527	1.0740501002036358	0.9470397126606119	0.8251244114157559	0.718625099920064	78.0	4.0	39.6232255123179	
