image_number	cell_id	Cgroup	Dgroup	D101	D102	D103	D104	D105	D106	D107	D108	D109	D110	D111	D112	D113	D114	D115	D116	D117	D118	D119	D120	D121	D122	D123	D124	D125	D126	D127	D128	D129	D130	D131	D132	D133	D134	D135	D136	D137	D138	D139	D140	D141	D142	D143	D144	D145	D146	D147	D148	D149	D150	D151	D152	D153	D154	D155	D156	D157	D158	D159	D160	D161	D162	D163	D164	D165	D166	D167	D168	D169	D170	D171	D172	D173	D174	D175	D176	D177	D178	D179	D180	D181	D182	D183	D184	D185	D186	D187	D188	D189	D190	D191	D192	D193	D194	D195	D196	D197	D198	
1	0	large	C	2.0	-1.0	25.019992006393608	-1.0	-1.0	0.5930306849214693	-1.0	16.492422502470642	11.704699910719626	-1.0	-1.0	0.3980148760839957	0.32203930059533636	-1.0	-1.0	28.197122413190268	4.123105625617661	-1.0	7.0710678118654755	-1.0	25.019992006393608	-1.0	0.688391909925055	-1.0	25.079872407968907	-1.0	-1.0	26.019223662515376	-1.0	16.15549442140351	12.165525060596439	-1.0	-1.0	28.321019481999947	5.830951894845301	-1.0	6.082762530298219	-1.0	24.186773244895647	-1.0	26.0	-1.0	10.198039027185569	4.47213595499958	20.09975124224178	19.026297590440446	0.1909991798288123	0.27641362915388684	-1.0	-1.0	0.43852900965351466	0.507371404963127	0.23505024736113425	19.476575498931993	36.40408856307903	14.4702941000659	3.1221304621157078	11.06402935074951	11.06402935074951	-1.0	-1.0	7.973595771806885	7.973595771806885	-1.0	-1.0	8.597198678796559	8.597198678796559	-1.0	5.505477857978343	13.270643876403678	-1.0	-1.0	7.0710678118654755	7.810249675906654	-1.0	12.206555615733702	13.601470508735444	-1.0	5.0	6.324555320336759	-1.0	2.4413111231467406	2.1505813167606567	-1.0	75.40707123744673	74.5105618091294	-1.0	2.23606797749979	2.23606797749979	-1.0	108.82828282828282	133.4402985074627	122.98283261802575	1.31399665862261	1.4688216542698953	1.5937183737567615	1.3535353535353536	1.659643586411732	
1	1	no	A	1.0	26.0	-1.0	26.0	0.5755086368446632	-1.0	0.5755086368446632	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	4.0	4.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	25.942243542145693	-1.0	26.0	-1.0	-1.0	-1.0	-1.0	-1.0	3.605551275463989	3.605551275463989	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	0.19047619047619047	0.15661513939205385	-1.0	-1.0	-1.0	-1.0	-1.0	26.565051177077976	7.125016348901795	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	9.219544457292887	-1.0	9.219544457292887	17.46424919657298	-1.0	17.46424919657298	7.280109889280518	-1.0	7.280109889280518	2.3988991185817037	-1.0	2.3988991185817037	-1.0	-1.0	-1.0	2.23606797749979	-1.0	2.23606797749979	72.3879781420765	-1.0	72.3879781420765	1.3538159583301879	-1.0	1.3538159583301879	-1.0	-1.0	
1	2	no	A	1.0	25.079872407968907	-1.0	25.079872407968907	0.5550057133235148	-1.0	0.5550057133235148	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	3.1622776601683795	3.1622776601683795	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	25.632011235952593	-1.0	25.079872407968907	-1.0	-1.0	-1.0	-1.0	-1.0	4.0	4.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	0.14285714285714288	0.18181818181818182	-1.0	-1.0	-1.0	-1.0	-1.0	5.7927964950321496	24.227745317954174	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	8.06225774829855	-1.0	8.06225774829855	15.811388300841896	-1.0	15.811388300841896	6.4031242374328485	-1.0	6.4031242374328485	2.469323991623974	-1.0	2.469323991623974	-1.0	-1.0	-1.0	1.4142135623730951	-1.0	1.4142135623730951	152.81879194630872	-1.0	152.81879194630872	1.1974967061923585	-1.0	1.1974967061923585	-1.0	-1.0	
1	3	no	A	1.0	21.93171219946131	-1.0	21.93171219946131	0.5256215379422394	-1.0	0.5256215379422394	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	2.0	2.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	21.93171219946131	-1.0	21.93171219946131	-1.0	-1.0	-1.0	-1.0	-1.0	1.4142135623730951	1.4142135623730951	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	0.1	0.06666666666666667	-1.0	-1.0	-1.0	-1.0	-1.0	46.97493401088198	1.9749340108819808	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	8.48528137423857	-1.0	8.48528137423857	15.0	-1.0	15.0	6.4031242374328485	-1.0	6.4031242374328485	2.342606428329091	-1.0	2.342606428329091	-1.0	-1.0	-1.0	1.4142135623730951	-1.0	1.4142135623730951	170.58227848101265	-1.0	170.58227848101265	1.3659097655090533	-1.0	1.3659097655090533	-1.0	-1.0	
1	4	no	A	1.0	21.18962010041709	-1.0	21.18962010041709	0.5307365682646619	-1.0	0.5307365682646619	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	2.23606797749979	2.23606797749979	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	21.18962010041709	-1.0	18.788294228055936	-1.0	-1.0	-1.0	-1.0	-1.0	1.0	1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	0.11901388973144479	0.05263157894736842	-1.0	-1.0	-1.0	-1.0	-1.0	46.78991060824607	20.224859431168078	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	7.280109889280518	-1.0	7.280109889280518	13.152946437965905	-1.0	13.152946437965905	5.0990195135927845	-1.0	5.0990195135927845	2.579505021093418	-1.0	2.579505021093418	-1.0	-1.0	-1.0	3.1622776601683795	-1.0	3.1622776601683795	152.41666666666666	-1.0	152.41666666666666	1.1219245489338436	-1.0	1.1219245489338436	-1.0	-1.0	
1	5	complex	-	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	
1	6	medium	A1	1.0	-1.0	25.495097567963924	25.495097567963924	-1.0	0.5641944497079822	0.5641944497079822	18.601075237738275	-1.0	18.601075237738275	-1.0	0.4374604912628444	-1.0	0.4374604912628444	-1.0	-1.0	2.23606797749979	2.23606797749979	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	24.698178070456937	24.698178070456937	-1.0	27.730849247724095	27.730849247724095	16.64331697709324	-1.0	16.64331697709324	-1.0	-1.0	4.47213595499958	4.47213595499958	-1.0	-1.0	-1.0	-1.0	26.92582403567252	26.92582403567252	8.602325267042627	-1.0	17.4928556845359	-1.0	0.09613607115671603	0.19227214231343207	-1.0	-1.0	-1.0	0.4917622040778217	-1.0	1.1017061152063832	1.1017061152063832	-1.0	-1.0	-1.0	-1.0	42.75616837628854	-1.0	-1.0	-1.0	16.713723834269928	-1.0	-1.0	-1.0	-1.0	2.8400211487847002	6.358632614121888	9.617969882983743	-1.0	10.295630140987	-1.0	10.295630140987	18.384776310850235	-1.0	18.384776310850235	8.54400374531753	-1.0	8.54400374531753	2.151775310366157	-1.0	2.151775310366157	-1.0	-1.0	-1.0	2.23606797749979	-1.0	2.23606797749979	80.58119658119658	-1.0	80.58119658119658	1.3154433602036488	-1.0	1.3154433602036488	-1.0	-1.0	
1	7	medium	A1	1.0	-1.0	25.079872407968907	25.079872407968907	-1.0	0.5608029957123981	0.5608029957123981	18.439088914585774	-1.0	18.439088914585774	-1.0	0.42158191620997504	-1.0	0.42158191620997504	-1.0	-1.0	3.605551275463989	3.605551275463989	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	25.317977802344327	25.317977802344327	-1.0	31.144823004794873	31.144823004794873	15.0	-1.0	15.0	-1.0	-1.0	11.40175425099138	11.40175425099138	-1.0	-1.0	-1.0	-1.0	31.016124838541646	31.016124838541646	7.0710678118654755	-1.0	17.26267650163207	-1.0	0.16044492593231405	0.5177269909067925	-1.0	-1.0	-1.0	0.40961596025952024	-1.0	43.994913994745815	48.179830119864235	-1.0	-1.0	-1.0	-1.0	43.483358128158784	-1.0	-1.0	-1.0	38.61884369039825	-1.0	-1.0	-1.0	-1.0	7.088475678146011	31.42956561483851	52.95216572274559	-1.0	17.88854381999832	-1.0	17.88854381999832	31.064449134018133	-1.0	31.064449134018133	9.433981132056603	-1.0	9.433981132056603	3.2928250225624627	-1.0	3.2928250225624627	-1.0	-1.0	-1.0	7.810249675906654	-1.0	7.810249675906654	64.45747126436781	-1.0	64.45747126436781	1.4272976924997327	-1.0	1.4272976924997327	-1.0	-1.0	
1	8	complex	-	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	
1	9	small	A1	1.0	-1.0	23.194827009486403	23.194827009486403	-1.0	0.5054310920332485	0.5054310920332485	19.697715603592208	-1.0	19.697715603592208	-1.0	0.4536910223561606	-1.0	0.4536910223561606	-1.0	-1.0	1.4142135623730951	1.4142135623730951	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	24.186773244895647	24.186773244895647	-1.0	24.331050121192877	24.331050121192877	19.235384061671343	-1.0	19.235384061671343	-1.0	-1.0	2.0	2.0	-1.0	-1.0	-1.0	-1.0	25.079872407968907	25.079872407968907	12.083045973594572	-1.0	18.110770276274835	-1.0	0.06666666666666667	0.08333333333333333	-1.0	-1.0	-1.0	0.6671746032482893	-1.0	55.30484646876603	10.304846468766044	-1.0	-1.0	-1.0	-1.0	50.61758059012683	-1.0	-1.0	-1.0	87.27368900609373	-1.0	-1.0	-1.0	-1.0	1.3836869673685115	2.5510950890009383	22.743613739446886	-1.0	8.94427190999916	-1.0	8.94427190999916	17.0	-1.0	17.0	7.615773105863909	-1.0	7.615773105863909	2.2322093586152834	-1.0	2.2322093586152834	-1.0	-1.0	-1.0	1.4142135623730951	-1.0	1.4142135623730951	93.0	-1.0	93.0	1.2580645161290323	-1.0	1.2580645161290323	-1.0	-1.0	
