image_number	cell_id	Cgroup	C101	C102	C103	C104	C105	C106	C107	C108	C109	C110	C111	C112	C113	C114	C115	C116	C117	C118	C126	C127	C128	
1	0	small	1945.0	187.23758988000003	50.039984012787215	40.049968789001575	31.399457483341255	46.79500673733635	19.849433241279208	19.974276115363576	14.866068747318506	25.739416696673295	32.30963816269827	21.633307652783937	35.312251401612734	0.9937498173469054	1.2494387767545296	0.7953569521255077	0.3840393505251915	0.1954517516902274	94.0	4.0	47.16990566028302	
1	1	large	2530.0	246.69343396000022	51.62363799656123	35.510561809129406	3.9825205718290135	7.517745929851486	41.012193308819754	30.600239331670995	11.0	7.031662511351492	64.48785610063945	24.08318915758459	53.74522083430174	1.3402572726407558	1.4537544709667003	0.9219282206227902	0.8238259687831363	0.6968477531857814	110.0	3.0	51.78802950489621	
1	2	medium	2571.0	236.69343396000014	54.42425929675111	41.78516483155236	36.68684466000056	43.746179346412035	34.438350715445125	26.564448178318997	13.601470508735444	37.72214866179272	43.79544767568203	22.47220505424423	54.55396143426611	1.2964075325137956	1.3024780329609913	0.995339268460908	0.5932839983975721	0.396523628462792	113.0	4.0	49.678969393496885	
1	3	large	2949.0	260.6934339600002	55.71355310873648	41.78516483155236	30.12778794624414	42.83892051177363	43.08131845707603	29.2150978797733	14.866068747318506	42.00055227913768	53.200699553574395	25.317977802344327	61.77100808183695	1.474625162454199	1.3333333333333333	1.1059688718406493	0.7319658555867716	0.5391440501043842	97.0	4.0	53.23532661682466	
1	4	large	2329.0	234.55129836000015	49.73932046178355	35.84689665786984	0.0	7.5536550816038925	39.0	26.133857955671303	13.0	5.126728665220213	63.101696684903956	24.186773244895647	39.00000000000008	1.4923169807593073	1.3875488563628215	1.0755058994254907	0.7477986861878672	0.5704652730950776	100.0	5.0	51.97114584074513	
1	5	large	2597.0	251.1787153200002	52.0	34.539832078341085	17.48104259817182	26.778840406955112	46.09772228646444	30.081646442267246	13.45362404707371	28.23076923076923	64.12885838518484	24.839484696748443	62.658755848638684	1.5324201876694241	1.5055081878237524	1.0178756914531124	0.852353319927802	0.7751196172248804	88.0	4.0	51.97114584074513	
1	6	large	2416.0	239.52186108000018	53.81449618829484	35.38361202590826	11.142889858339316	19.517148885938354	39.824615503479755	26.470430543772537	13.0	18.136377168430858	62.28872276765321	25.0	54.28606806060929	1.5044944372032112	1.5208875834635334	0.989221329414111	0.7239289677879504	0.5577047066408769	96.0	4.0	53.41348144429457	
1	7	large	2828.0	255.1787153200002	56.08029957123981	37.69615364994153	46.12883479666067	65.21616771710958	41.048751503547585	31.829955016818893	15.033296378372908	52.35350064901751	31.75390282827587	20.615528128088304	57.664657614552965	1.2896264377960163	1.4876928848502504	0.8668633499082902	0.7499788954614685	0.6095617529880478	122.0	4.0	47.634021455258214	
1	8	no	1776.0	162.26702716	55.154328932550705	39.92492955535426	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	1.3814508766028382	-1.0	-1.0	-1.0	85.0	3.0	-1.0	
3	9	large	2524.0	242.4507932800001	52.32590180780452	34.438350715445125	4.640458264263657	12.368394579868948	42.20189569201838	29.866140095840244	13.341664064126334	12.192814226946414	64.78242870671002	23.40939982143925	56.92348721248995	1.4130348132230273	1.5194078903533865	0.9299904404829575	0.8169417382634225	0.6905559276624247	80.0	3.0	51.62363799656123	
3	10	medium	3082.0	247.5218610800002	61.07372593840988	49.01020301937138	36.28526712513883	50.418118886711056	31.144823004794873	30.183020800122975	17.69180601295413	38.54357931877128	41.74640939951451	26.076809620810597	50.010172819431865	1.0318656708034994	1.2461430921694074	0.8280474989490388	0.4868272015953024	0.2740801984291029	109.0	4.0	55.00909015790027	
3	11	small	1767.0	176.50966784000002	53.31041174104736	36.24913792078372	6.82198142871971	7.253194612725338	14.560219778561036	14.74558039485868	13.341664064126334	4.201805851511121	38.89747676431129	24.041630560342615	33.28050235099663	0.9874294119774172	1.4706670226902536	0.6714160287426162	0.27042922514070217	0.10230817217716781	98.0	3.0	51.86520991955976	
3	12	large	2336.0	227.1370848000001	49.09175083453431	34.132096331752024	4.480439649785154	11.63363399894044	39.59797974644666	30.154039116175372	14.142135623730951	9.635019977068351	60.11936624270829	22.02271554554524	47.78021535731955	1.3131899044730404	1.4382870116555304	0.9130235438624327	0.838855467026456	0.7355126300148589	75.0	3.0	48.25971404805462	
3	13	medium	2085.0	209.72287124000007	52.32590180780452	35.34119409414458	7.815293546766867	13.730215508316434	31.240998703626616	23.666655555892824	14.212670403551895	10.969710605434548	53.393781629824524	23.021728866442675	46.21735375227235	1.3200428184643873	1.480592355436966	0.8915639835752118	0.597001527612917	0.3983903420523139	92.0	4.0	49.92995093127971	
3	14	complex	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	
