image_number	cell_id	Cgroup	Agroup	A101	A102	A103	A104	A120	A121	A122	A123	
1	0	large	iso	0.36083369518019975	0.789410348977136	-1.0	0.24382073577663865	14.560219778561036	7.280109889280518	1.0	0.027677496991576414	
1	1	medium	iso	0.26136986301369863	0.8092243186582809	-1.0	0.21215192180761117	93.50093169056328	39.12277948704893	2.0	0.20964360587002095	
1	2	large	E	0.7397459165154265	0.4730127576054956	0.07880280997429075	-1.0	86.53343678940908	31.827660925679098	2.0	0.019136408243375858	
1	3	small	api	0.20886460230722526	0.6715116279069767	-1.0	0.1159002976690594	31.945524314798732	14.142135623730951	3.0	0.14825581395348839	
1	4	complex	-	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	
1	5	large	iso	0.2948073701842546	0.8200757575757576	-1.0	0.21928694785966552	57.39178153760041	22.360679774997898	2.0	0.20075757575757575	
1	6	medium	F	0.25694066412629285	0.760593220338983	-1.0	0.1642389054010223	79.49933614004689	27.826630679016283	2.0	0.1885593220338983	
1	7	small	api	0.2127039627039627	0.4273972602739726	-1.0	0.02802651672799978	15.402527384152982	7.280109889280518	2.0	0.08767123287671233	
1	8	large	iso	0.35430157261794637	0.9399477806788512	-1.0	0.2763977763006638	155.47016829191853	67.17847039173137	2.0	0.09530026109660575	
1	9	medium	iso	0.6092853416797078	0.3381849315068493	-1.0	0.08597084853800135	42.27693663914353	15.231546211727817	1.0	0.0351027397260274	
1	10	medium	E	0.2076923076923077	0.7751322751322751	-1.0	0.14727353332410056	52.707912745323085	23.941722171120134	2.0	0.13756613756613756	
1	11	small	api	0.16356457980823463	0.5758620689655173	-1.0	0.07224480673870648	52.12478451592044	18.48617021102742	4.0	0.2827586206896552	
1	12	small	api	0.1762820512820513	0.7212121212121212	-1.0	0.16687490788508888	39.1098252307885	14.866068747318506	1.0	0.18181818181818182	
1	13	complex	-	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	
1	14	small	api	0.11196105702364395	0.5031055900621118	-1.0	0.0222349711483153	38.883833648790244	15.310529199541996	3.0	0.45962732919254656	
1	15	small	api	0.19708029197080293	0.4185185185185185	0.006301765412016891	-1.0	44.82432409108241	17.00383407348637	1.0	0.24814814814814815	
2	16	no	A	0.6277820414428242	-1.0	-1.0	-1.0	26.851482074128032	13.152946437965905	1.0	0.05867970660146699	
2	17	small	api	0.0701480904130943	0.3333333333333333	0.018351042978083546	-1.0	49.26291112629521	17.280109889280517	3.0	1.1	
2	18	large	iso	0.4287024300779459	0.613903743315508	-1.0	0.26837940162005763	169.10364728316722	62.86980000968592	2.0	0.18181818181818182	
