image_number	cell_id	Cgroup	Agroup	A101	A102	A103	A104	A120	A121	A122	A123	
1	0	no	B	0.10822249093107618	-1.0	-1.0	-1.0	17.369393537663814	8.06225774829855	2.0	0.24022346368715083	
1	1	medium	iso	0.2845572354211663	0.8804554079696395	-1.0	0.24182193040645525	56.13829411240182	22.20360331117452	1.0	0.15370018975332067	
1	2	no	B	0.07277628032345014	-1.0	-1.0	-1.0	84.69160791547071	37.48332962798263	1.0	0.4537037037037037	
1	3	no	B	0.1108843537414966	-1.0	-1.0	-1.0	98.91315114580465	41.43669871020132	3.0	0.4539877300613497	
1	4	large	E	0.1315089319650323	0.45664739884393063	0.03383869665692116	-1.0	197.31710148096283	77.5614824465782	6.0	0.37572254335260113	
1	5	large	api	0.19109663409337677	0.9659090909090909	-1.0	0.33476344263373087	93.83546555572195	37.589892258425	2.0	0.17234848484848486	
1	6	no	B	0.14331008243500318	-1.0	-1.0	-1.0	12.93010659580075	6.324555320336759	1.0	0.1504424778761062	
1	7	no	B	0.054357204486626405	-1.0	-1.0	-1.0	16.184675243171014	8.06225774829855	1.0	0.38095238095238093	
1	8	small	api	0.15645371577574968	0.6583333333333333	-1.0	0.07974483657902932	35.34537067616133	13.454409077260093	1.0	0.4083333333333333	
1	9	small	api	0.139375	0.7623318385650224	-1.0	0.13716294797660783	64.99882167483825	29.894255965500758	3.0	0.5067264573991032	
1	10	large	api	0.29357798165137616	0.9328125	-1.0	0.2663140955292512	78.13201711352511	28.284271247461902	3.0	0.2375	
1	11	no	B	0.14444444444444443	-1.0	-1.0	-1.0	20.17298124673855	10.04987562112089	1.0	0.35714285714285715	
1	12	no	B	0.12680756395995552	-1.0	-1.0	-1.0	35.59602796300189	17.46424919657298	2.0	0.2412280701754386	
2	13	large	iso	0.195132186319765	0.832258064516129	-1.0	0.24775084879154785	162.24333000257494	71.94300842141682	3.0	0.1978494623655914	
2	14	large	iso	0.35399820305480684	0.8375634517766497	-1.0	0.19955579138862348	81.62969916029789	30.80643375387033	5.0	0.1319796954314721	
2	15	small	api	0.16462440063931805	0.6731391585760518	-1.0	0.1256930398651511	54.07309692181632	20.08276253029822	1.0	0.3365695792880259	
2	16	small	api	0.16312384473197783	0.6487252124645893	-1.0	0.05005354544840801	61.47860377592092	20.385164807134505	5.0	0.3371104815864023	
2	17	no	B	0.0662729658792651	-1.0	-1.0	-1.0	59.468661632397385	28.0178514522438	1.0	0.504950495049505	
2	18	no	B	0.12907608695652173	-1.0	-1.0	-1.0	20.591260281974	10.295630140987	1.0	0.13157894736842105	
2	19	large	iso	0.29865125240847784	0.9458064516129032	-1.0	0.3117908428016158	71.01175698349297	28.160255680657446	3.0	0.1135483870967742	
2	20	no	B	0.08567096285064443	-1.0	-1.0	-1.0	80.52382314456203	35.014282800023196	2.0	0.4247787610619469	
2	21	complex	-	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	
2	22	complex	-	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	
2	23	complex	-	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	
2	24	no	B	0.09540150995195608	-1.0	-1.0	-1.0	88.15173422883097	38.47076812334269	1.0	0.34532374100719426	
2	25	no	B	0.07501995211492418	-1.0	-1.0	-1.0	89.75083478429076	36.87817782917155	3.0	0.7446808510638298	
2	26	medium	api	0.2043060009161704	0.8161434977578476	-1.0	0.2073196781458456	64.77354472792265	26.02379604162864	2.0	0.19282511210762332	
