image_number	cell_id	Cgroup	Agroup	A101	A102	A103	A104	A120	A121	A122	A123	
1	0	large	iso	0.32747363134103463	0.901840490797546	-1.0	0.2665936217190076	92.30733793617534	35.768480681454875	5.0	0.22392638036809817	
1	1	no	B	0.13573407202216067	-1.0	-1.0	-1.0	74.81549297702375	33.24154027718932	3.0	0.3129251700680272	
1	2	no	B	0.2471505698860228	-1.0	-1.0	-1.0	72.99315036357864	36.49657518178932	1.0	0.04611650485436893	
1	3	no	B	0.2370731707317073	-1.0	-1.0	-1.0	84.50918802517077	31.575306807693888	5.0	0.3333333333333333	
1	4	no	A	0.31341821743388837	-1.0	-1.0	-1.0	82.62327544977622	29.068883707497267	5.0	0.24375	
1	5	medium	iso	0.27319587628865977	0.8511530398322851	-1.0	0.19241947099959622	141.5177835566923	60.31109779118424	3.0	0.3438155136268344	
1	6	large	E	0.5045911674682991	0.07452339688041594	0.09682148502359074	-1.0	77.05351194436268	28.442925306655784	2.0	0.05805892547660312	
1	7	small	api	0.1695382494831151	0.8617886178861789	-1.0	0.16053967055103524	41.44702329323962	17.82237931008882	3.0	0.37398373983739835	
1	8	large	E	0.1271043771043771	0.46688741721854304	-1.0	0.02779284426654407	169.24932593226325	64.40915366365515	6.0	0.5927152317880795	
1	9	small	api	0.1932075471698113	0.37109375	-1.0	0.03310910103196346	52.200675144681	16.27935940109173	1.0	0.2578125	
1	10	small	api	0.10852713178294573	0.5584415584415584	-1.0	0.02309785361341808	33.48379582444302	11.502143751025633	4.0	0.7272727272727273	
1	11	no	B	0.14723467862481315	-1.0	-1.0	-1.0	63.17479258575632	30.364452901377952	3.0	0.233502538071066	
1	12	no	B	0.12173263629574309	-1.0	-1.0	-1.0	67.07188781755441	31.144823004794873	3.0	0.4539877300613497	
2	13	no	A	0.28709055876685935	-1.0	-1.0	-1.0	84.72897647796988	30.4138126514911	4.0	0.28523489932885904	
2	14	medium	iso	0.19423692636072573	0.804945054945055	-1.0	0.19694164816973317	108.40953260040456	37.71122138618783	4.0	0.3131868131868132	
2	15	large	E	0.11164021164021164	0.4549763033175355	0.014818348463012086	-1.0	67.18700345878469	27.302622824767305	3.0	0.36018957345971564	
2	16	small	E	0.049019607843137254	0.025	0.05056918861271128	-1.0	93.42108012788715	38.62641583165593	2.0	1.0125	
