image_number	cell_id	Cgroup	Agroup	A101	A102	A103	A104	A120	A121	A122	A123	
1	0	large	iso	0.44439636520986586	0.8237585199610516	-1.0	0.22955377456068582	36.87817782917155	18.439088914585774	1.0	0.028237585199610515	
1	1	large	api	0.3298804780876494	0.9214975845410628	-1.0	0.24045959782978826	12.806248474865697	6.4031242374328485	1.0	0.03985507246376811	
1	2	large	F	0.13236514522821577	0.5924764890282131	-1.0	0.017958642318354184	0.0	0.0	0.0	0.12539184952978055	
1	3	complex	-	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	
1	4	medium	iso	0.2511798636601993	0.8935281837160751	-1.0	0.24675340769261875	48.922193262871914	19.79898987322333	1.0	0.1649269311064718	
1	5	large	iso	0.3719723183391003	0.9418604651162791	-1.0	0.24432285866965103	55.24105180781209	25.632011235952593	1.0	0.046511627906976744	
1	6	no	B	0.1834360027378508	-1.0	-1.0	-1.0	0.0	0.0	0.0	0.08208955223880597	
1	7	complex	-	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	
1	8	small	E	0.16046831955922866	0.1072961373390558	0.05101843504567967	-1.0	0.0	0.0	0.0	0.0	
1	9	complex	-	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	
1	10	no	B	0.0633903133903134	-1.0	-1.0	-1.0	91.54385885196577	39.21734310225516	2.0	0.5730337078651685	
1	11	large	iso	0.3551038062283737	0.8526187576126675	-1.0	0.22311500986540606	73.65651544743726	27.202941017470888	2.0	0.09500609013398295	
2	12	large	iso	0.391255182811911	0.9595375722543352	-1.0	0.26524576219575435	84.09142015241171	29.206163733020468	2.0	0.12427745664739884	
2	13	medium	iso	0.24675997926386728	0.7962184873949579	-1.0	0.14134872387461642	91.51773614356568	34.6155281280883	5.0	0.3760504201680672	
2	14	no	B	0.1027479091995221	-1.0	-1.0	-1.0	90.82830622769899	40.44749683231337	2.0	0.4476744186046512	
2	15	large	api	0.4020533880903491	0.9366700715015321	-1.0	0.32040582187761557	176.16147068597652	80.0812507972833	2.0	0.08478038815117467	
2	16	no	B	0.07374392220421394	-1.0	-1.0	-1.0	21.551462956323874	10.295630140987	1.0	0.4175824175824176	
2	17	medium	iso	0.2831353919239905	0.9211409395973155	-1.0	0.18295117723049023	82.77529675336314	31.400740332642545	5.0	0.32550335570469796	
2	18	small	api	0.0896551724137931	0.33974358974358976	0.03050265096093531	-1.0	60.91361835605077	23.126775890912732	4.0	0.7564102564102564	
2	19	small	api	0.14538310412573674	0.38738738738738737	0.03932907226332033	-1.0	65.80673814398435	21.587875315361657	2.0	0.6306306306306306	
2	20	medium	iso	0.36073458679492787	0.7733333333333333	-1.0	0.1365326921295715	85.56226166866031	34.93874326115918	3.0	0.11878787878787879	
2	21	no	B	0.11618798955613577	-1.0	-1.0	-1.0	86.19876434058722	36.68787265568828	2.0	0.38764044943820225	
2	22	complex	-	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	
2	23	medium	iso	0.1837270341207349	0.7428571428571429	-1.0	0.11317672939765498	65.0489610628812	24.129049135101617	3.0	0.3514285714285714	
2	24	medium	iso	0.2721549636803874	0.8327402135231317	-1.0	0.1957297377958795	78.2130038957131	29.967233522963504	2.0	0.22241992882562278	
2	25	medium	iso	0.231924882629108	0.7955465587044535	-1.0	0.09518282031420537	67.71780259434807	25.223748416156685	1.0	0.2631578947368421	
2	26	no	B	0.11966987620357634	-1.0	-1.0	-1.0	18.526680246658152	9.219544457292887	2.0	0.27011494252873564	
3	27	no	B	0.06989247311827956	-1.0	-1.0	-1.0	23.7301630729621	11.180339887498949	1.0	0.6634615384615384	
3	28	no	B	0.09015421115065243	-1.0	-1.0	-1.0	0.0	0.0	0.0	0.08552631578947369	
3	29	medium	api	0.30546955624355004	0.8192567567567568	-1.0	0.1849808564531498	72.82662455081648	28.492960253928207	2.0	0.125	
3	30	large	E	0.1320754716981132	0.47619047619047616	0.003833154430454838	-1.0	164.44673740391238	66.22638528213061	5.0	0.29894179894179895	
3	31	large	api	0.3825354609929078	0.9015063731170336	-1.0	0.2417664664918317	85.0266187655265	37.06421751203578	2.0	0.07531865585168018	
3	32	large	F	0.12826009289031798	0.4986072423398329	-1.0	0.011995662930025387	89.47400338069754	34.14684569116994	3.0	0.35097493036211697	
3	33	small	api	0.09499024072869226	0.18493150684931506	0.038777757172117726	-1.0	90.95255807136448	40.311288741492746	2.0	0.2602739726027397	
