dim mu sigma meanW sdW
7 0 10 9.63465e-08 9.63465e-08
7 1 0 0.606531 0.238651
7 1 1 0.0687346 0.0640102
7 1 2 0.00321021 0.0031999
7 1 3 0.000301043 0.000300952
7 1 4 4.77272e-05 4.7725e-05
7 1 5 1.10236e-05 1.10234e-05
7 1 6 3.18669e-06 3.18668e-06
7 1 7 1.12698e-06 1.12698e-06
7 1 8 4.43994e-07 4.43994e-07
7 1 9 1.97266e-07 1.97266e-07
7 1 10 9.58909e-08 9.58909e-08
7 2 0 0.135335 0.11702
7 2 1 0.0324623 0.0314085
7 2 2 0.00241522 0.00240938
7 2 3 0.000257257 0.00025719
7 2 4 4.37412e-05 4.37392e-05
7 2 5 1.03819e-05 1.03818e-05
7 2 6 3.0741e-06 3.07409e-06
7 2 7 1.08868e-06 1.08868e-06
7 2 8 4.38061e-07 4.38061e-07
7 2 9 1.9451e-07 1.94509e-07
7 2 10 9.44429e-08 9.44429e-08
7 3 0 0.011109 0.0109856
7 3 1 0.00934229 0.00925501
7 3 2 0.00146002 0.00145789
7 3 3 0.000199711 0.000199671
7 3 4 3.78008e-05 3.77994e-05
7 3 5 9.37509e-06 9.375e-06
7 3 6 2.89223e-06 2.89222e-06
7 3 7 1.03245e-06 1.03245e-06
7 3 8 4.20522e-07 4.20522e-07
7 3 9 1.88668e-07 1.88668e-07
7 3 10 9.20176e-08 9.20176e-08
7 4 0 0.000335463 0.00033535
7 4 1 0.00159316 0.00159062
7 4 2 0.000721307 0.000720786
7 4 3 0.000141804 0.000141784
7 4 4 3.06565e-05 3.06556e-05
7 4 5 8.13913e-06 8.13906e-06
7 4 6 2.63056e-06 2.63056e-06
7 4 7 9.72926e-07 9.72925e-07
7 4 8 3.96881e-07 3.96881e-07
7 4 9 1.81169e-07 1.81169e-07
7 4 10 8.90785e-08 8.90785e-08
7 5 0 3.72665e-06 3.72664e-06
7 5 1 0.000168011 0.000167983
7 5 2 0.000296144 0.000296056
7 5 3 9.04373e-05 9.04291e-05
7 5 4 2.37312e-05 2.37307e-05
7 5 5 6.96647e-06 6.96643e-06
7 5 6 2.32025e-06 2.32024e-06
7 5 7 8.77838e-07 8.77837e-07
7 5 8 3.72786e-07 3.72786e-07
7 5 9 1.72928e-07 1.72928e-07
7 5 10 8.51749e-08 8.51749e-08
7 6 0 1.523e-08 1.523e-08
7 6 1 1.10822e-05 1.10821e-05
7 6 2 9.80649e-05 9.80553e-05
7 6 3 5.22558e-05 5.22531e-05
7 6 4 1.70651e-05 1.70648e-05
7 6 5 5.58486e-06 5.58483e-06
7 6 6 1.97933e-06 1.97933e-06
7 6 7 7.87706e-07 7.87706e-07
7 6 8 3.40747e-07 3.40747e-07
7 6 9 1.60605e-07 1.60605e-07
7 6 10 8.02986e-08 8.02986e-08
7 7 0 2.28973e-11 2.28973e-11
7 7 1 4.2373e-07 4.2373e-07
7 7 2 2.66415e-05 2.66408e-05
7 7 3 2.71535e-05 2.71527e-05
7 7 4 1.16637e-05 1.16635e-05
7 7 5 4.35024e-06 4.35023e-06
7 7 6 1.68115e-06 1.68114e-06
7 7 7 6.9665e-07 6.9665e-07
7 7 8 3.11048e-07 3.11048e-07
7 7 9 1.47958e-07 1.47958e-07
7 7 10 7.60484e-08 7.60484e-08
7 8 0 1.26642e-14 1.26642e-14
7 8 1 9.06525e-09 9.06525e-09
7 8 2 5.96549e-06 5.96545e-06
7 8 3 1.28558e-05 1.28556e-05
7 8 4 7.54844e-06 7.54838e-06
7 8 5 3.24083e-06 3.24082e-06
7 8 6 1.36702e-06 1.36701e-06
7 8 7 5.9924e-07 5.9924e-07
7 8 8 2.73565e-07 2.73565e-07
7 8 9 1.35564e-07 1.35564e-07
7 8 10 7.02757e-08 7.02757e-08
7 9 0 2.57676e-18 2.57676e-18
7 9 1 1.06046e-10 1.06046e-10
7 9 2 1.08947e-06 1.08947e-06
7 9 3 5.49199e-06 5.49196e-06
7 9 4 4.56139e-06 4.56137e-06
7 9 5 2.35116e-06 2.35116e-06
7 9 6 1.08721e-06 1.08721e-06
7 9 7 5.03774e-07 5.03774e-07
7 9 8 2.41571e-07 2.41571e-07
7 9 9 1.21336e-07 1.21336e-07
7 9 10 6.45905e-08 6.45905e-08
7 10 0 1.92875e-22 1.92875e-22
7 10 1 6.21111e-13 6.21111e-13
7 10 2 1.63445e-07 1.63445e-07
7 10 3 2.13001e-06 2.13001e-06
7 10 4 2.58988e-06 2.58987e-06
7 10 5 1.62527e-06 1.62527e-06
7 10 6 8.36545e-07 8.36544e-07
7 10 7 4.18602e-07 4.18601e-07
7 10 8 2.09169e-07 2.09169e-07
7 10 9 1.09374e-07 1.09374e-07
7 10 10 5.83639e-08 5.83639e-08
8 0 0 1 0
8 0 1 0.0629495 0.0589869
8 0 2 0.00162434 0.0016217
8 0 3 0.000100314 0.000100304
8 0 4 1.20224e-05 1.20222e-05
8 0 5 2.19271e-06 2.19271e-06
8 0 6 5.43506e-07 5.43506e-07
8 0 7 1.59801e-07 1.598e-07
8 0 8 5.58195e-08 5.58195e-08
8 0 9 2.2201e-08 2.2201e-08
8 0 10 9.61324e-09 9.61324e-09
8 1 0 0.606531 0.238651
8 1 1 0.0486762 0.0463068
8 1 2 0.00144048 0.0014384
8 1 3 9.60488e-05 9.60396e-05
8 1 4 1.17048e-05 1.17047e-05
8 1 5 2.16372e-06 2.16372e-06
8 1 6 5.20535e-07 5.20535e-07
8 1 7 1.60341e-07 1.60341e-07
8 1 8 5.58995e-08 5.58995e-08
8 1 9 2.18955e-08 2.18955e-08
8 1 10 9.55741e-09 9.55741e-09
8 2 0 0.135335 0.11702
8 2 1 0.023527 0.0229735
8 2 2 0.00105873 0.00105761
8 2 3 8.35685e-05 8.35615e-05
8 2 4 1.07929e-05 1.07928e-05
8 2 5 2.04608e-06 2.04607e-06
8 2 6 5.09944e-07 5.09944e-07
8 2 7 1.53849e-07 1.53849e-07
8 2 8 5.41497e-08 5.41497e-08
8 2 9 2.15548e-08 2.15548e-08
8 2 10 9.54961e-09 9.54961e-09
8 3 0 0.011109 0.0109856
8 3 1 0.00652609 0.0064835
8 3 2 0.000661498 0.00066106
8 3 3 6.36671e-05 6.3663e-05
8 3 4 9.13819e-06 9.13811e-06
8 3 5 1.84125e-06 1.84125e-06
8 3 6 4.74402e-07 4.74402e-07
8 3 7 1.45642e-07 1.45642e-07
8 3 8 5.23712e-08 5.23712e-08
8 3 9 2.0815e-08 2.0815e-08
8 3 10 9.21764e-09 9.21764e-09
8 4 0 0.000335463 0.00033535
8 4 1 0.00113375 0.00113247
8 4 2 0.000325138 0.000325033
8 4 3 4.51409e-05 4.51389e-05
8 4 4 7.57948e-06 7.57942e-06
8 4 5 1.60952e-06 1.60951e-06
8 4 6 4.27598e-07 4.27598e-07
8 4 7 1.38065e-07 1.38065e-07
8 4 8 4.93829e-08 4.93829e-08
8 4 9 1.99968e-08 1.99968e-08
8 4 10 8.87673e-09 8.87673e-09
8 5 0 3.72665e-06 3.72664e-06
8 5 1 0.00011973 0.000119716
8 5 2 0.000131536 0.000131519
8 5 3 2.86098e-05 2.8609e-05
8 5 4 5.75382e-06 5.75379e-06
8 5 5 1.3651e-06 1.3651e-06
8 5 6 3.80371e-07 3.80371e-07
8 5 7 1.25147e-07 1.25147e-07
8 5 8 4.65022e-08 4.65021e-08
8 5 9 1.89793e-08 1.89793e-08
8 5 10 8.54414e-09 8.54414e-09
8 6 0 1.523e-08 1.523e-08
8 6 1 7.69419e-06 7.69413e-06
8 6 2 4.43813e-05 4.43793e-05
8 6 3 1.65329e-05 1.65326e-05
8 6 4 4.17112e-06 4.1711e-06
8 6 5 1.09234e-06 1.09234e-06
8 6 6 3.25583e-07 3.25583e-07
8 6 7 1.11944e-07 1.11944e-07
8 6 8 4.28342e-08 4.28342e-08
8 6 9 1.76377e-08 1.76377e-08
8 6 10 8.03263e-09 8.03263e-09
8 7 0 2.28973e-11 2.28973e-11
8 7 1 2.98583e-07 2.98583e-07
8 7 2 1.21222e-05 1.21221e-05
8 7 3 8.71424e-06 8.71416e-06
8 7 4 2.80606e-06 2.80605e-06
8 7 5 8.49163e-07 8.49163e-07
8 7 6 2.76213e-07 2.76213e-07
8 7 7 9.82269e-08 9.82269e-08
8 7 8 3.88212e-08 3.88212e-08
8 7 9 1.62552e-08 1.62552e-08
8 7 10 7.43496e-09 7.43496e-09
8 8 0 1.26642e-14 1.26642e-14
8 8 1 6.64756e-09 6.64756e-09
8 8 2 2.66522e-06 2.66522e-06
8 8 3 4.08705e-06 4.08703e-06
8 8 4 1.82804e-06 1.82804e-06
8 8 5 6.36859e-07 6.36858e-07
8 8 6 2.24305e-07 2.24305e-07
8 8 7 8.43557e-08 8.43557e-08
8 8 8 3.42733e-08 3.42733e-08
8 8 9 1.50406e-08 1.50406e-08
8 8 10 6.97558e-09 6.97558e-09
8 9 0 2.57676e-18 2.57676e-18
8 9 1 7.48651e-11 7.48651e-11
8 9 2 4.80662e-07 4.80662e-07
8 9 3 1.75436e-06 1.75436e-06
8 9 4 1.09297e-06 1.09297e-06
8 9 5 4.57704e-07 4.57704e-07
8 9 6 1.78711e-07 1.78711e-07
8 9 7 7.05032e-08 7.05032e-08
8 9 8 3.0094e-08 3.0094e-08
8 9 9 1.36118e-08 1.36118e-08
8 9 10 6.48022e-09 6.48022e-09
8 10 0 1.92875e-22 1.92875e-22
8 10 1 4.71484e-13 4.71484e-13
8 10 2 7.27257e-08 7.27257e-08
8 10 3 6.68528e-07 6.68527e-07
8 10 4 6.3006e-07 6.3006e-07
8 10 5 3.18718e-07 3.18718e-07
8 10 6 1.38621e-07 1.38621e-07
8 10 7 5.87659e-08 5.87659e-08
8 10 8 2.58725e-08 2.58725e-08
8 10 9 1.19898e-08 1.19898e-08
8 10 10 5.77207e-09 5.77207e-09
9 0 0 1 0
9 0 1 0.0438513 0.0419284
9 0 2 0.000706705 0.000706206
9 0 3 3.1739e-05 3.1738e-05
9 0 4 2.88927e-06 2.88926e-06
9 0 5 4.39728e-07 4.39728e-07
9 0 6 8.84174e-08 8.84173e-08
9 0 7 2.26635e-08 2.26635e-08
9 0 8 6.99217e-09 6.99217e-09
9 0 9 2.43165e-09 2.43165e-09
9 0 10 9.58252e-10 9.58252e-10
9 1 0 0.606531 0.238651
9 1 1 0.0330621 0.031969
9 1 2 0.000649708 0.000649286
9 1 3 2.98202e-05 2.98194e-05
9 1 4 2.79084e-06 2.79083e-06
9 1 5 4.31588e-07 4.31588e-07
9 1 6 8.54933e-08 8.54933e-08
9 1 7 2.25952e-08 2.25952e-08
9 1 8 6.87928e-09 6.87928e-09
9 1 9 2.4782e-09 2.4782e-09
9 1 10 9.64618e-10 9.64618e-10
9 2 0 0.135335 0.11702
9 2 1 0.0167457 0.0164652
9 2 2 0.000473276 0.000473052
9 2 3 2.58317e-05 2.5831e-05
9 2 4 2.63062e-06 2.63061e-06
9 2 5 3.93353e-07 3.93353e-07
9 2 6 8.39366e-08 8.39366e-08
9 2 7 2.20116e-08 2.20116e-08
9 2 8 6.82101e-09 6.82101e-09
9 2 9 2.38535e-09 2.38535e-09
9 2 10 9.45574e-10 9.45574e-10
9 3 0 0.011109 0.0109856
9 3 1 0.00446491 0.00444498
9 3 2 0.000279039 0.000278961
9 3 3 2.01024e-05 2.0102e-05
9 3 4 2.21105e-06 2.21105e-06
9 3 5 3.60601e-07 3.60601e-07
9 3 6 7.87506e-08 7.87506e-08
9 3 7 2.01512e-08 2.01512e-08
9 3 8 6.43069e-09 6.43069e-09
9 3 9 2.3214e-09 2.3214e-09
9 3 10 9.12114e-10 9.12114e-10
9 4 0 0.000335463 0.00033535
9 4 1 0.000812526 0.000811866
9 4 2 0.000139287 0.000139268
9 4 3 1.44469e-05 1.44467e-05
9 4 4 1.80201e-06 1.802e-06
9 4 5 3.2158e-07 3.21579e-07
9 4 6 7.06816e-08 7.06816e-08
9 4 7 1.94486e-08 1.94486e-08
9 4 8 6.07495e-09 6.07495e-09
9 4 9 2.19962e-09 2.19962e-09
9 4 10 8.81893e-10 8.81893e-10
9 5 0 3.72665e-06 3.72664e-06
9 5 1 8.21037e-05 8.20969e-05
9 5 2 6.24677e-05 6.24638e-05
9 5 3 9.01712e-06 9.01704e-06
9 5 4 1.37786e-06 1.37786e-06
9 5 5 2.65773e-07 2.65773e-07
9 5 6 6.36421e-08 6.36421e-08
9 5 7 1.75947e-08 1.75947e-08
9 5 8 5.67936e-09 5.67936e-09
9 5 9 2.10243e-09 2.10243e-09
9 5 10 8.41131e-10 8.41131e-10
9 6 0 1.523e-08 1.523e-08
9 6 1 5.49973e-06 5.4997e-06
9 6 2 1.9467e-05 1.94666e-05
9 6 3 5.17645e-06 5.17642e-06
9 6 4 1.00747e-06 1.00747e-06
9 6 5 2.17405e-07 2.17405e-07
9 6 6 5.4449e-08 5.4449e-08
9 6 7 1.56795e-08 1.56795e-08
9 6 8 5.22036e-09 5.22036e-09
9 6 9 1.99694e-09 1.99694e-09
9 6 10 7.88762e-10 7.88762e-10
9 7 0 2.28973e-11 2.28973e-11
9 7 1 2.19164e-07 2.19164e-07
9 7 2 5.38156e-06 5.38153e-06
9 7 3 2.71241e-06 2.7124e-06
9 7 4 6.80626e-07 6.80626e-07
9 7 5 1.64986e-07 1.64986e-07
9 7 6 4.52327e-08 4.52327e-08
9 7 7 1.38701e-08 1.38701e-08
9 7 8 4.7287e-09 4.7287e-09
9 7 9 1.81512e-09 1.81512e-09
9 7 10 7.71446e-10 7.71446e-10
9 8 0 1.26642e-14 1.26642e-14
9 8 1 4.31372e-09 4.31372e-09
9 8 2 1.20588e-06 1.20588e-06
9 8 3 1.3043e-06 1.3043e-06
9 8 4 4.54337e-07 4.54337e-07
9 8 5 1.25212e-07 1.25212e-07
9 8 6 3.71612e-08 3.71612e-08
9 8 7 1.16112e-08 1.16112e-08
9 8 8 4.23329e-09 4.23329e-09
9 8 9 1.65661e-09 1.65661e-09
9 8 10 6.87257e-10 6.87257e-10
9 9 0 2.57676e-18 2.57676e-18
9 9 1 5.15814e-11 5.15814e-11
9 9 2 2.15515e-07 2.15515e-07
9 9 3 5.47313e-07 5.47313e-07
9 9 4 2.71428e-07 2.71428e-07
9 9 5 8.832e-08 8.832e-08
9 9 6 2.9347e-08 2.9347e-08
9 9 7 9.96865e-09 9.96865e-09
9 9 8 3.72343e-09 3.72343e-09
9 9 9 1.51237e-09 1.51237e-09
9 9 10 6.33579e-10 6.33579e-10
9 10 0 1.92875e-22 1.92875e-22
9 10 1 3.30554e-13 3.30554e-13
9 10 2 3.21899e-08 3.21899e-08
9 10 3 2.14329e-07 2.14329e-07
9 10 4 1.50158e-07 1.50158e-07
9 10 5 6.15492e-08 6.15492e-08
9 10 6 2.25611e-08 2.25611e-08
9 10 7 8.4791e-09 8.4791e-09
9 10 8 3.27882e-09 3.27882e-09
9 10 9 1.3085e-09 1.3085e-09
9 10 10 5.75106e-10 5.75106e-10
10 0 0 1 0
10 0 1 0.0302975 0.0293796
