dim mu sigma meanW sdW
2 5 6 0.0192844 0.0189125
2 5 7 0.0155705 0.015328
2 5 8 0.0126883 0.0125273
2 5 9 0.0104728 0.0103631
2 5 10 0.0087502 0.00867363
2 6 0 1.523e-08 1.523e-08
2 6 1 6.15889e-05 6.15851e-05
2 6 2 0.00546546 0.00543559
2 6 3 0.0165263 0.0162532
2 6 4 0.0204139 0.0199972
2 6 5 0.01925 0.0188794
2 6 6 0.0166163 0.0163402
2 6 7 0.0139524 0.0137577
2 6 8 0.0116611 0.0115251
2 6 9 0.00979104 0.00969518
2 6 10 0.00828341 0.00821479
2 7 0 2.28973e-11 2.28973e-11
2 7 1 2.35271e-06 2.3527e-06
2 7 2 0.00148943 0.00148722
2 7 3 0.0086275 0.00855306
2 7 4 0.013921 0.0137272
2 7 5 0.0149895 0.0147648
2 7 6 0.0139355 0.0137413
2 7 7 0.0122561 0.0121059
2 7 8 0.0105553 0.0104439
2 7 9 0.00904919 0.0089673
2 7 10 0.00776811 0.00770776
2 8 0 1.26642e-14 1.26642e-14
2 8 1 5.18601e-08 5.18601e-08
2 8 2 0.000332502 0.000332391
2 8 3 0.00407699 0.00406037
2 8 4 0.00894922 0.00886913
2 8 5 0.011232 0.0111059
2 8 6 0.0113807 0.0112512
2 8 7 0.0105474 0.0104362
2 8 8 0.00940203 0.00931363
2 8 9 0.00825186 0.00818377
2 8 10 0.00721204 0.00716002
2 9 0 2.57676e-18 2.57676e-18
2 9 1 6.10599e-10 6.10599e-10
2 9 2 6.07283e-05 6.07246e-05
2 9 3 0.00174225 0.00173922
2 9 4 0.00542746 0.00539801
2 9 5 0.00810075 0.00803513
2 9 6 0.00904402 0.00896222
2 9 7 0.00889636 0.00881722
2 9 8 0.00825243 0.00818433
2 9 9 0.00743971 0.00738436
2 9 10 0.00663107 0.0065871
2 10 0 1.92875e-22 1.92875e-22
2 10 1 3.46884e-12 3.46884e-12
2 10 2 9.07451e-06 9.07443e-06
2 10 3 0.000674043 0.000673589
2 10 4 0.00310687 0.00309722
2 10 5 0.00562234 0.00559073
2 10 6 0.00699438 0.00694546
2 10 7 0.00735663 0.00730251
2 10 8 0.0071276 0.0070768
2 10 9 0.00662853 0.0065846
2 10 10 0.00603481 0.00599839
3 0 0 1 0
3 0 1 0.353603 0.228568
3 0 2 0.089497 0.0814873
3 0 3 0.031642 0.0306408
3 0 4 0.014264 0.0140605
3 0 5 0.00754841 0.00749143
3 0 6 0.00444583 0.00442607
3 0 7 0.00282994 0.00282193
3 0 8 0.0019096 0.00190595
3 0 9 0.00134724 0.00134543
3 0 10 0.000985342 0.000984371
3 1 0 0.606531 0.238651
3 1 1 0.275412 0.19956
3 1 2 0.0809218 0.0743735
3 1 3 0.0301098 0.0292032
3 1 4 0.0138551 0.0136632
3 1 5 0.0073988 0.00734406
3 1 6 0.00438537 0.00436614
3 1 7 0.00280178 0.00279393
3 1 8 0.00189378 0.00189019
3 1 9 0.00133843 0.00133664
3 1 10 0.000979775 0.000978815
3 2 0 0.135335 0.11702
3 2 1 0.130013 0.113109
3 2 2 0.0599332 0.0563412
3 2 3 0.0258659 0.0251968
3 2 4 0.0126903 0.0125293
3 2 5 0.00698273 0.00693397
3 2 6 0.0042081 0.00419039
3 2 7 0.00271853 0.00271114
3 2 8 0.00184924 0.00184582
3 2 9 0.00131414 0.00131241
3 2 10 0.00096594 0.000965007
3 3 0 0.011109 0.0109856
3 3 1 0.0372861 0.0358959
3 3 2 0.0363601 0.035038
3 3 3 0.0201327 0.0197273
3 3 4 0.0109558 0.0108358
3 3 5 0.00634326 0.00630302
3 3 6 0.00393627 0.00392077
3 3 7 0.00258548 0.00257879
3 3 8 0.00178131 0.00177814
3 3 9 0.00127574 0.00127411
3 3 10 0.000942337 0.000941449
3 4 0 0.000335463 0.00033535
3 4 1 0.00647289 0.006431
3 4 2 0.0180694 0.0177429
3 4 3 0.0142181 0.014016
3 4 4 0.0089218 0.0088422
3 4 5 0.00554409 0.00551335
3 4 6 0.00357701 0.00356421
3 4 7 0.00241176 0.00240595
3 4 8 0.00168669 0.00168385
3 4 9 0.00122178 0.00122029
3 4 10 0.000910249 0.00090942
3 5 0 3.72665e-06 3.72664e-06
3 5 1 0.000681543 0.000681078
3 5 2 0.00733629 0.00728247
3 5 3 0.00904867 0.00896679
3 5 4 0.00683837 0.00679161
3 5 5 0.00466487 0.00464311
3 5 6 0.00316942 0.00315938
3 5 7 0.00220316 0.00219831
3 5 8 0.00157553 0.00157305
3 5 9 0.00115675 0.00115541
3 5 10 0.000870624 0.000869866
3 6 0 1.523e-08 1.523e-08
3 6 1 4.35495e-05 4.35476e-05
3 6 2 0.00244385 0.00243788
3 6 3 0.00522862 0.00520128
3 6 4 0.00494897 0.00492448
3 6 5 0.00377629 0.00376203
3 6 6 0.00273217 0.00272471
3 6 7 0.00197247 0.00196858
3 6 8 0.00144659 0.0014445
3 6 9 0.00108063 0.00107946
3 6 10 0.000824447 0.000823767
3 7 0 2.28973e-11 2.28973e-11
3 7 1 1.66357e-06 1.66357e-06
3 7 2 0.000666087 0.000665643
3 7 3 0.00272786 0.00272042
3 7 4 0.00337704 0.00336563
3 7 5 0.00293792 0.00292929
3 7 6 0.00229369 0.00228842
3 7 7 0.00173206 0.00172906
3 7 8 0.0013092 0.00130749
3 7 9 0.000998548 0.000997551
3 7 10 0.000773433 0.000772834
3 8 0 1.26642e-14 1.26642e-14
3 8 1 3.66483e-08 3.66483e-08
3 8 2 0.000148521 0.000148499
3 8 3 0.00128903 0.00128737
3 8 4 0.00217131 0.0021666
3 8 5 0.00220292 0.00219807
3 8 6 0.00186949 0.00186599
3 8 7 0.00149117 0.00148895
3 8 8 0.00116636 0.001165
3 8 9 0.000911366 0.000910535
3 8 10 0.000717984 0.000717468
3 9 0 2.57676e-18 2.57676e-18
3 9 1 4.3174e-10 4.3174e-10
3 9 2 2.71656e-05 2.71649e-05
3 9 3 0.00055138 0.000551076
3 9 4 0.00131672 0.00131498
3 9 5 0.00158892 0.0015864
3 9 6 0.00148631 0.0014841
3 9 7 0.00125812 0.00125653
